DACCustomerMembershipID,CustomerID,MembershipID,JoinDate,RenewalDate,ActiveIND,EmployeeIND,CreatedDate
1,3,5,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
2,5,6,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
3,7,6,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
4,8,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
5,10,6,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
6,31,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
7,33,4,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
8,42,3,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
9,43,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
10,44,5,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
11,45,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
12,46,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
13,47,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
14,48,3,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
15,49,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
16,50,3,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
17,51,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
18,52,3,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
19,53,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
20,54,3,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
21,55,1,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
22,56,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
23,57,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
24,58,3,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
25,59,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
26,60,3,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
27,61,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
28,62,3,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
29,63,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
30,64,3,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
31,65,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
32,66,1,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
33,67,5,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
34,68,3,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
35,69,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
36,70,3,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
37,71,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
38,72,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
39,73,3,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
