AmenityUsageID,UsageDate,UsageDay,DateKey,Year,Month,MonthName,Quarter,DayName,IsoDayOfWeek,IsWeekend,IsHoliday,IsBusinessDay,DACCustomerMembershipID,CustomerID,MembershipID,MembershipActiveIND,EmployeeIND,JoinDate,RenewalDate,AmenityID,AmenityName,AmenityCategory
1,2025-10-01 09:30:00.000,2025-10-01,20251001,2025,10,October,4,Wednesday,3,0,0,1,1,3,5,1,0,2026-02-27,2027-02-27,6,Main Dining Room Access,Dining
2,2025-10-02 14:15:00.000,2025-10-02,20251002,2025,10,October,4,Thursday,4,0,0,1,1,3,5,1,0,2026-02-27,2027-02-27,7,Bar & Lounge Access,Dining
3,2025-10-05 11:45:00.000,2025-10-05,20251005,2025,10,October,4,Sunday,7,1,0,0,1,3,5,1,0,2026-02-27,2027-02-27,8,Private Event Access,Social
4,2025-10-03 13:20:00.000,2025-10-03,20251003,2025,10,October,4,Friday,5,0,0,1,1,3,5,1,0,2026-02-27,2027-02-27,9,Member Networking Events,Social
5,2025-10-06 15:45:00.000,2025-10-06,20251006,2025,10,October,4,Monday,1,0,0,1,1,3,5,1,0,2026-02-27,2027-02-27,10,Overnight Guest Rooms,Facility
6,2025-10-04 10:15:00.000,2025-10-04,20251004,2025,10,October,4,Saturday,6,1,0,0,1,3,5,1,0,2026-02-27,2027-02-27,11,Valet & Parking Access,Facility
7,2025-10-07 12:30:00.000,2025-10-07,20251007,2025,10,October,4,Tuesday,2,0,0,1,1,3,5,1,0,2026-02-27,2027-02-27,12,Meeting Room Reservations,Facility
8,2025-10-08 14:00:00.000,2025-10-08,20251008,2025,10,October,4,Wednesday,3,0,0,1,1,3,5,1,0,2026-02-27,2027-02-27,13,Reciprocal Club Privileges,Facility
9,2025-10-09 11:20:00.000,2025-10-09,20251009,2025,10,October,4,Thursday,4,0,0,1,1,3,5,1,0,2026-02-27,2027-02-27,14,Golf Simulator,Athletic
10,2025-10-01 10:00:00.000,2025-10-01,20251001,2025,10,October,4,Wednesday,3,0,0,1,2,5,6,1,0,2026-02-27,2027-02-27,6,Main Dining Room Access,Dining
11,2025-10-03 16:20:00.000,2025-10-03,20251003,2025,10,October,4,Friday,5,0,0,1,2,5,6,1,0,2026-02-27,2027-02-27,7,Bar & Lounge Access,Dining
12,2025-10-02 13:30:00.000,2025-10-02,20251002,2025,10,October,4,Thursday,4,0,0,1,2,5,6,1,0,2026-02-27,2027-02-27,8,Private Event Access,Social
13,2025-10-04 09:15:00.000,2025-10-04,20251004,2025,10,October,4,Saturday,6,1,0,0,2,5,6,1,0,2026-02-27,2027-02-27,9,Member Networking Events,Social
14,2025-10-06 15:45:00.000,2025-10-06,20251006,2025,10,October,4,Monday,1,0,0,1,2,5,6,1,0,2026-02-27,2027-02-27,11,Valet & Parking Access,Facility
15,2025-10-02 13:30:00.000,2025-10-02,20251002,2025,10,October,4,Thursday,4,0,0,1,3,7,6,1,0,2026-02-27,2027-02-27,6,Main Dining Room Access,Dining
16,2025-10-04 09:15:00.000,2025-10-04,20251004,2025,10,October,4,Saturday,6,1,0,0,3,7,6,1,0,2026-02-27,2027-02-27,7,Bar & Lounge Access,Dining
17,2025-10-06 15:45:00.000,2025-10-06,20251006,2025,10,October,4,Monday,1,0,0,1,3,7,6,1,0,2026-02-27,2027-02-27,8,Private Event Access,Social
18,2025-10-01 11:00:00.000,2025-10-01,20251001,2025,10,October,4,Wednesday,3,0,0,1,3,7,6,1,0,2026-02-27,2027-02-27,9,Member Networking Events,Social
19,2025-10-05 14:20:00.000,2025-10-05,20251005,2025,10,October,4,Sunday,7,1,0,0,3,7,6,1,0,2026-02-27,2027-02-27,11,Valet & Parking Access,Facility
20,2025-10-01 08:45:00.000,2025-10-01,20251001,2025,10,October,4,Wednesday,3,0,0,1,4,8,2,1,0,2026-02-27,2027-02-27,1,Full Fitness Center Access,Athletic
21,2025-10-02 12:00:00.000,2025-10-02,20251002,2025,10,October,4,Thursday,4,0,0,1,4,8,2,1,0,2026-02-27,2027-02-27,2,Indoor Pool Access,Athletic
22,2025-10-05 14:30:00.000,2025-10-05,20251005,2025,10,October,4,Sunday,7,1,0,0,4,8,2,1,0,2026-02-27,2027-02-27,3,Racquet / Court Access,Athletic
23,2025-10-07 10:20:00.000,2025-10-07,20251007,2025,10,October,4,Tuesday,2,0,0,1,4,8,2,1,0,2026-02-27,2027-02-27,4,Locker Room Access,Athletic
24,2025-10-03 16:15:00.000,2025-10-03,20251003,2025,10,October,4,Friday,5,0,0,1,4,8,2,1,0,2026-02-27,2027-02-27,5,Spa / Sauna Access,Athletic
25,2025-10-04 13:45:00.000,2025-10-04,20251004,2025,10,October,4,Saturday,6,1,0,0,4,8,2,1,0,2026-02-27,2027-02-27,6,Main Dining Room Access,Dining
26,2025-10-08 11:30:00.000,2025-10-08,20251008,2025,10,October,4,Wednesday,3,0,0,1,4,8,2,1,0,2026-02-27,2027-02-27,7,Bar & Lounge Access,Dining
27,2025-10-06 09:20:00.000,2025-10-06,20251006,2025,10,October,4,Monday,1,0,0,1,4,8,2,1,0,2026-02-27,2027-02-27,8,Private Event Access,Social
28,2025-10-09 14:50:00.000,2025-10-09,20251009,2025,10,October,4,Thursday,4,0,0,1,4,8,2,1,0,2026-02-27,2027-02-27,9,Member Networking Events,Social
29,2025-10-10 10:10:00.000,2025-10-10,20251010,2025,10,October,4,Friday,5,0,0,1,4,8,2,1,0,2026-02-27,2027-02-27,11,Valet & Parking Access,Facility
30,2025-10-02 15:40:00.000,2025-10-02,20251002,2025,10,October,4,Thursday,4,0,0,1,4,8,2,1,0,2026-02-27,2027-02-27,14,Golf Simulator,Athletic
31,2025-10-03 11:15:00.000,2025-10-03,20251003,2025,10,October,4,Friday,5,0,0,1,5,10,6,1,0,2026-02-27,2027-02-27,6,Main Dining Room Access,Dining
32,2025-10-05 13:45:00.000,2025-10-05,20251005,2025,10,October,4,Sunday,7,1,0,0,5,10,6,1,0,2026-02-27,2027-02-27,7,Bar & Lounge Access,Dining
33,2025-10-01 09:30:00.000,2025-10-01,20251001,2025,10,October,4,Wednesday,3,0,0,1,5,10,6,1,0,2026-02-27,2027-02-27,8,Private Event Access,Social
34,2025-10-04 14:20:00.000,2025-10-04,20251004,2025,10,October,4,Saturday,6,1,0,0,5,10,6,1,0,2026-02-27,2027-02-27,9,Member Networking Events,Social
35,2025-10-07 12:00:00.000,2025-10-07,20251007,2025,10,October,4,Tuesday,2,0,0,1,5,10,6,1,0,2026-02-27,2027-02-27,11,Valet & Parking Access,Facility
36,2025-10-01 09:00:00.000,2025-10-01,20251001,2025,10,October,4,Wednesday,3,0,0,1,6,31,2,1,0,2026-02-27,2027-02-27,1,Full Fitness Center Access,Athletic
37,2025-10-02 15:30:00.000,2025-10-02,20251002,2025,10,October,4,Thursday,4,0,0,1,6,31,2,1,0,2026-02-27,2027-02-27,2,Indoor Pool Access,Athletic
38,2025-10-04 10:45:00.000,2025-10-04,20251004,2025,10,October,4,Saturday,6,1,0,0,6,31,2,1,0,2026-02-27,2027-02-27,3,Racquet / Court Access,Athletic
39,2025-10-06 14:00:00.000,2025-10-06,20251006,2025,10,October,4,Monday,1,0,0,1,6,31,2,1,0,2026-02-27,2027-02-27,4,Locker Room Access,Athletic
40,2025-10-08 11:30:00.000,2025-10-08,20251008,2025,10,October,4,Wednesday,3,0,0,1,6,31,2,1,0,2026-02-27,2027-02-27,5,Spa / Sauna Access,Athletic
41,2025-10-03 13:15:00.000,2025-10-03,20251003,2025,10,October,4,Friday,5,0,0,1,6,31,2,1,0,2026-02-27,2027-02-27,6,Main Dining Room Access,Dining
42,2025-10-05 16:45:00.000,2025-10-05,20251005,2025,10,October,4,Sunday,7,1,0,0,6,31,2,1,0,2026-02-27,2027-02-27,7,Bar & Lounge Access,Dining
43,2025-10-07 10:00:00.000,2025-10-07,20251007,2025,10,October,4,Tuesday,2,0,0,1,6,31,2,1,0,2026-02-27,2027-02-27,8,Private Event Access,Social
44,2025-10-09 14:30:00.000,2025-10-09,20251009,2025,10,October,4,Thursday,4,0,0,1,6,31,2,1,0,2026-02-27,2027-02-27,9,Member Networking Events,Social
45,2025-10-10 11:15:00.000,2025-10-10,20251010,2025,10,October,4,Friday,5,0,0,1,6,31,2,1,0,2026-02-27,2027-02-27,11,Valet & Parking Access,Facility
46,2025-10-06 09:45:00.000,2025-10-06,20251006,2025,10,October,4,Monday,1,0,0,1,6,31,2,1,0,2026-02-27,2027-02-27,14,Golf Simulator,Athletic
47,2025-10-02 12:15:00.000,2025-10-02,20251002,2025,10,October,4,Thursday,4,0,0,1,7,33,4,1,0,2026-02-27,2027-02-27,1,Full Fitness Center Access,Athletic
48,2025-10-04 16:45:00.000,2025-10-04,20251004,2025,10,October,4,Saturday,6,1,0,0,7,33,4,1,0,2026-02-27,2027-02-27,2,Indoor Pool Access,Athletic
49,2025-10-07 09:30:00.000,2025-10-07,20251007,2025,10,October,4,Tuesday,2,0,0,1,7,33,4,1,0,2026-02-27,2027-02-27,3,Racquet / Court Access,Athletic
50,2025-10-09 13:00:00.000,2025-10-09,20251009,2025,10,October,4,Thursday,4,0,0,1,7,33,4,1,0,2026-02-27,2027-02-27,4,Locker Room Access,Athletic
51,2025-10-01 14:20:00.000,2025-10-01,20251001,2025,10,October,4,Wednesday,3,0,0,1,7,33,4,1,0,2026-02-27,2027-02-27,5,Spa / Sauna Access,Athletic
52,2025-10-03 10:50:00.000,2025-10-03,20251003,2025,10,October,4,Friday,5,0,0,1,7,33,4,1,0,2026-02-27,2027-02-27,6,Main Dining Room Access,Dining
53,2025-10-05 15:30:00.000,2025-10-05,20251005,2025,10,October,4,Sunday,7,1,0,0,7,33,4,1,0,2026-02-27,2027-02-27,7,Bar & Lounge Access,Dining
54,2025-10-08 12:15:00.000,2025-10-08,20251008,2025,10,October,4,Wednesday,3,0,0,1,7,33,4,1,0,2026-02-27,2027-02-27,8,Private Event Access,Social
55,2025-10-10 11:45:00.000,2025-10-10,20251010,2025,10,October,4,Friday,5,0,0,1,7,33,4,1,0,2026-02-27,2027-02-27,9,Member Networking Events,Social
56,2025-10-02 13:20:00.000,2025-10-02,20251002,2025,10,October,4,Thursday,4,0,0,1,7,33,4,1,0,2026-02-27,2027-02-27,10,Overnight Guest Rooms,Facility
57,2025-10-06 14:00:00.000,2025-10-06,20251006,2025,10,October,4,Monday,1,0,0,1,7,33,4,1,0,2026-02-27,2027-02-27,11,Valet & Parking Access,Facility
58,2025-10-04 09:30:00.000,2025-10-04,20251004,2025,10,October,4,Saturday,6,1,0,0,7,33,4,1,0,2026-02-27,2027-02-27,13,Reciprocal Club Privileges,Facility
59,2025-10-07 16:15:00.000,2025-10-07,20251007,2025,10,October,4,Tuesday,2,0,0,1,7,33,4,1,0,2026-02-27,2027-02-27,14,Golf Simulator,Athletic
60,2025-10-01 10:30:00.000,2025-10-01,20251001,2025,10,October,4,Wednesday,3,0,0,1,8,42,3,1,0,2026-02-27,2027-02-27,1,Full Fitness Center Access,Athletic
61,2025-10-03 14:15:00.000,2025-10-03,20251003,2025,10,October,4,Friday,5,0,0,1,8,42,3,1,0,2026-02-27,2027-02-27,2,Indoor Pool Access,Athletic
62,2025-10-05 11:00:00.000,2025-10-05,20251005,2025,10,October,4,Sunday,7,1,0,0,8,42,3,1,0,2026-02-27,2027-02-27,3,Racquet / Court Access,Athletic
63,2025-10-07 15:45:00.000,2025-10-07,20251007,2025,10,October,4,Tuesday,2,0,0,1,8,42,3,1,0,2026-02-27,2027-02-27,4,Locker Room Access,Athletic
64,2025-10-09 09:20:00.000,2025-10-09,20251009,2025,10,October,4,Thursday,4,0,0,1,8,42,3,1,0,2026-02-27,2027-02-27,5,Spa / Sauna Access,Athletic
65,2025-10-02 13:30:00.000,2025-10-02,20251002,2025,10,October,4,Thursday,4,0,0,1,8,42,3,1,0,2026-02-27,2027-02-27,6,Main Dining Room Access,Dining
66,2025-10-04 10:15:00.000,2025-10-04,20251004,2025,10,October,4,Saturday,6,1,0,0,8,42,3,1,0,2026-02-27,2027-02-27,7,Bar & Lounge Access,Dining
67,2025-10-06 14:45:00.000,2025-10-06,20251006,2025,10,October,4,Monday,1,0,0,1,8,42,3,1,0,2026-02-27,2027-02-27,8,Private Event Access,Social
68,2025-10-08 11:20:00.000,2025-10-08,20251008,2025,10,October,4,Wednesday,3,0,0,1,8,42,3,1,0,2026-02-27,2027-02-27,9,Member Networking Events,Social
69,2025-10-10 15:30:00.000,2025-10-10,20251010,2025,10,October,4,Friday,5,0,0,1,8,42,3,1,0,2026-02-27,2027-02-27,10,Overnight Guest Rooms,Facility
70,2025-10-03 12:00:00.000,2025-10-03,20251003,2025,10,October,4,Friday,5,0,0,1,8,42,3,1,0,2026-02-27,2027-02-27,11,Valet & Parking Access,Facility
71,2025-10-05 16:20:00.000,2025-10-05,20251005,2025,10,October,4,Sunday,7,1,0,0,8,42,3,1,0,2026-02-27,2027-02-27,13,Reciprocal Club Privileges,Facility
72,2025-10-07 09:50:00.000,2025-10-07,20251007,2025,10,October,4,Tuesday,2,0,0,1,8,42,3,1,0,2026-02-27,2027-02-27,14,Golf Simulator,Athletic
73,2025-10-02 13:45:00.000,2025-10-02,20251002,2025,10,October,4,Thursday,4,0,0,1,9,43,2,1,0,2026-02-27,2027-02-27,1,Full Fitness Center Access,Athletic
74,2025-10-04 10:30:00.000,2025-10-04,20251004,2025,10,October,4,Saturday,6,1,0,0,9,43,2,1,0,2026-02-27,2027-02-27,2,Indoor Pool Access,Athletic
75,2025-10-06 14:15:00.000,2025-10-06,20251006,2025,10,October,4,Monday,1,0,0,1,9,43,2,1,0,2026-02-27,2027-02-27,3,Racquet / Court Access,Athletic
76,2025-10-08 12:00:00.000,2025-10-08,20251008,2025,10,October,4,Wednesday,3,0,0,1,9,43,2,1,0,2026-02-27,2027-02-27,4,Locker Room Access,Athletic
77,2025-10-01 16:45:00.000,2025-10-01,20251001,2025,10,October,4,Wednesday,3,0,0,1,9,43,2,1,0,2026-02-27,2027-02-27,5,Spa / Sauna Access,Athletic
78,2025-10-03 11:15:00.000,2025-10-03,20251003,2025,10,October,4,Friday,5,0,0,1,9,43,2,1,0,2026-02-27,2027-02-27,6,Main Dining Room Access,Dining
79,2025-10-05 13:50:00.000,2025-10-05,20251005,2025,10,October,4,Sunday,7,1,0,0,9,43,2,1,0,2026-02-27,2027-02-27,7,Bar & Lounge Access,Dining
80,2025-10-07 10:20:00.000,2025-10-07,20251007,2025,10,October,4,Tuesday,2,0,0,1,9,43,2,1,0,2026-02-27,2027-02-27,8,Private Event Access,Social
81,2025-10-09 14:40:00.000,2025-10-09,20251009,2025,10,October,4,Thursday,4,0,0,1,9,43,2,1,0,2026-02-27,2027-02-27,9,Member Networking Events,Social
82,2025-10-10 09:30:00.000,2025-10-10,20251010,2025,10,October,4,Friday,5,0,0,1,9,43,2,1,0,2026-02-27,2027-02-27,11,Valet & Parking Access,Facility
83,2025-10-02 15:00:00.000,2025-10-02,20251002,2025,10,October,4,Thursday,4,0,0,1,9,43,2,1,0,2026-02-27,2027-02-27,14,Golf Simulator,Athletic
84,2025-10-01 11:15:00.000,2025-10-01,20251001,2025,10,October,4,Wednesday,3,0,0,1,10,44,5,1,0,2026-02-27,2027-02-27,6,Main Dining Room Access,Dining
85,2025-10-03 15:30:00.000,2025-10-03,20251003,2025,10,October,4,Friday,5,0,0,1,10,44,5,1,0,2026-02-27,2027-02-27,7,Bar & Lounge Access,Dining
86,2025-10-05 09:45:00.000,2025-10-05,20251005,2025,10,October,4,Sunday,7,1,0,0,10,44,5,1,0,2026-02-27,2027-02-27,8,Private Event Access,Social
87,2025-10-07 13:20:00.000,2025-10-07,20251007,2025,10,October,4,Tuesday,2,0,0,1,10,44,5,1,0,2026-02-27,2027-02-27,9,Member Networking Events,Social
88,2025-10-09 16:00:00.000,2025-10-09,20251009,2025,10,October,4,Thursday,4,0,0,1,10,44,5,1,0,2026-02-27,2027-02-27,10,Overnight Guest Rooms,Facility
89,2025-10-02 14:15:00.000,2025-10-02,20251002,2025,10,October,4,Thursday,4,0,0,1,10,44,5,1,0,2026-02-27,2027-02-27,11,Valet & Parking Access,Facility
90,2025-10-04 11:45:00.000,2025-10-04,20251004,2025,10,October,4,Saturday,6,1,0,0,10,44,5,1,0,2026-02-27,2027-02-27,12,Meeting Room Reservations,Facility
91,2025-10-06 13:30:00.000,2025-10-06,20251006,2025,10,October,4,Monday,1,0,0,1,10,44,5,1,0,2026-02-27,2027-02-27,13,Reciprocal Club Privileges,Facility
92,2025-10-08 10:00:00.000,2025-10-08,20251008,2025,10,October,4,Wednesday,3,0,0,1,10,44,5,1,0,2026-02-27,2027-02-27,14,Golf Simulator,Athletic
93,2025-10-02 10:00:00.000,2025-10-02,20251002,2025,10,October,4,Thursday,4,0,0,1,11,45,2,1,0,2026-02-27,2027-02-27,1,Full Fitness Center Access,Athletic
94,2025-10-04 14:30:00.000,2025-10-04,20251004,2025,10,October,4,Saturday,6,1,0,0,11,45,2,1,0,2026-02-27,2027-02-27,2,Indoor Pool Access,Athletic
95,2025-10-06 11:45:00.000,2025-10-06,20251006,2025,10,October,4,Monday,1,0,0,1,11,45,2,1,0,2026-02-27,2027-02-27,3,Racquet / Court Access,Athletic
96,2025-10-08 15:15:00.000,2025-10-08,20251008,2025,10,October,4,Wednesday,3,0,0,1,11,45,2,1,0,2026-02-27,2027-02-27,4,Locker Room Access,Athletic
97,2025-10-10 09:30:00.000,2025-10-10,20251010,2025,10,October,4,Friday,5,0,0,1,11,45,2,1,0,2026-02-27,2027-02-27,5,Spa / Sauna Access,Athletic
98,2025-10-01 13:20:00.000,2025-10-01,20251001,2025,10,October,4,Wednesday,3,0,0,1,11,45,2,1,0,2026-02-27,2027-02-27,6,Main Dining Room Access,Dining
99,2025-10-03 10:45:00.000,2025-10-03,20251003,2025,10,October,4,Friday,5,0,0,1,11,45,2,1,0,2026-02-27,2027-02-27,7,Bar & Lounge Access,Dining
100,2025-10-05 14:00:00.000,2025-10-05,20251005,2025,10,October,4,Sunday,7,1,0,0,11,45,2,1,0,2026-02-27,2027-02-27,8,Private Event Access,Social
101,2025-10-07 12:15:00.000,2025-10-07,20251007,2025,10,October,4,Tuesday,2,0,0,1,11,45,2,1,0,2026-02-27,2027-02-27,9,Member Networking Events,Social
102,2025-10-09 16:30:00.000,2025-10-09,20251009,2025,10,October,4,Thursday,4,0,0,1,11,45,2,1,0,2026-02-27,2027-02-27,11,Valet & Parking Access,Facility
103,2025-10-04 11:00:00.000,2025-10-04,20251004,2025,10,October,4,Saturday,6,1,0,0,11,45,2,1,0,2026-02-27,2027-02-27,14,Golf Simulator,Athletic
104,2025-10-01 12:45:00.000,2025-10-01,20251001,2025,10,October,4,Wednesday,3,0,0,1,12,46,2,1,0,2026-02-27,2027-02-27,1,Full Fitness Center Access,Athletic
105,2025-10-03 16:15:00.000,2025-10-03,20251003,2025,10,October,4,Friday,5,0,0,1,12,46,2,1,0,2026-02-27,2027-02-27,2,Indoor Pool Access,Athletic
106,2025-10-05 13:00:00.000,2025-10-05,20251005,2025,10,October,4,Sunday,7,1,0,0,12,46,2,1,0,2026-02-27,2027-02-27,3,Racquet / Court Access,Athletic
107,2025-10-07 10:30:00.000,2025-10-07,20251007,2025,10,October,4,Tuesday,2,0,0,1,12,46,2,1,0,2026-02-27,2027-02-27,4,Locker Room Access,Athletic
108,2025-10-09 14:45:00.000,2025-10-09,20251009,2025,10,October,4,Thursday,4,0,0,1,12,46,2,1,0,2026-02-27,2027-02-27,5,Spa / Sauna Access,Athletic
109,2025-10-02 11:20:00.000,2025-10-02,20251002,2025,10,October,4,Thursday,4,0,0,1,12,46,2,1,0,2026-02-27,2027-02-27,6,Main Dining Room Access,Dining
110,2025-10-04 15:40:00.000,2025-10-04,20251004,2025,10,October,4,Saturday,6,1,0,0,12,46,2,1,0,2026-02-27,2027-02-27,7,Bar & Lounge Access,Dining
111,2025-10-06 09:15:00.000,2025-10-06,20251006,2025,10,October,4,Monday,1,0,0,1,12,46,2,1,0,2026-02-27,2027-02-27,8,Private Event Access,Social
